"case_id","accident_year","proc_date","juris","collision_date","collision_time","officer_id","reporting_district","day_of_week","chp_shift","population","cnty_city_loc","special_cond","beat_type","chp_beat_type","city_division_lapd","chp_beat_class","beat_number","primary_rd","secondary_rd","distance","direction","intersection","weather_1","weather_2","state_hwy_ind","caltrans_county","caltrans_district","state_route","route_suffix","postmile_prefix","postmile","location_type","ramp_intersection","side_of_hwy","tow_away","collision_severity","number_killed","number_injured","party_count","primary_coll_factor","pcf_code_of_viol","pcf_viol_category","pcf_violation","pcf_viol_subsection","hit_and_run","type_of_collision","mviw","ped_action","road_surface","road_cond_1","road_cond_2","lighting","control_device","chp_road_type","pedestrian_accident","bicycle_accident","motorcycle_accident","truck_accident","not_private_property","alcohol_involved","stwd_vehtype_at_fault","chp_vehtype_at_fault","count_severe_inj","count_visible_inj","count_complaint_pain","count_ped_killed","count_ped_injured","count_bicyclist_killed","count_bicyclist_injured","count_mc_killed","count_mc_injured","primary_ramp","secondary_ramp","latitude","longitude","local_report_number"
"91247647","2020","20200604","9370","20200531","10","021787","","7","3","6","0103","0","1","1","","2","081","I-80 E/B TO UNIVERSITY AVENUE","UNIVERSITY AVENUE","400.00","W","N","A","-","Y","","","","","","","","","","Y","0","0","0","1","A","-","08","22107","","M","E","I","A","A","H","-","C","D","0","","","","","Y","","A","07","0","0","0","0","0","0","0","0","0","-","-","37.86572","122.30300","9370-2020-01349"
"91176079","2020","20200129","9370","20200125","1435","022288","","6","2","6","0103","0","1","1","","2","081","I-80 W/B","UNIVERSITY AVE","200.00","W","N","B","-","Y","","","","","","","","","","N","0","0","0","2","A","-","03","22350","","N","C","C","A","A","H","-","A","D","0","","","","","Y","","D","22","0","0","0","0","0","0","0","0","0","-","-","37.86620","122.30363","9370-2020-00279"
"91173739","2020","20200127","9370","20200117","1630","021747","","5","2","6","0103","0","1","1","","2","081","I-80 W/B","UNIVERSITY AVE","200.00","W","N","A","-","Y","","","","","","","","","","Y","3","0","2","5","A","-","07","21658","A","N","D","C","A","A","H","-","A","D","0","","","Y","","Y","","A","01","0","1","1","0","0","0","0","0","0","-","-","37.86382","122.30297","9370-2020-00205"
"91190954","2020","20200221","9370","20200219","1330","021117","","3","1","6","0103","1","4","S","","2","901","MONTEREY AVE, (BLOCK 1100)","POSEN AVE","50.00","N","N","A","-","N","","","","","","","","","","N","0","0","0","2","A","-","03","22350","","N","C","C","A","A","H","-","A","A","0","","","","","Y","","D","22","0","0","0","0","0","0","0","0","0","-","-","37.88524","122.28087","9370-2020-00595"
"91195164","2020","20200227","9370","20200214","1400","022487","","5","2","6","0103","0","1","1","","2","081","I-80 W/B","UNIVERSITY AVE","500.00","E","N","A","-","Y","","","","","","","","","","Y","0","0","0","4","A","-","03","22350","","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","07","0","0","0","0","0","0","0","0","0","-","-","37.86948","122.30460","9370-2020-00536"
"91205824","2020","20200311","9370","20200229","1310","021937","","6","1","6","0103","0","1","1","","2","081","I-80 WB","GILMAN ST","510.00","E","N","A","-","Y","","","","","","","","","","N","0","0","0","2","A","-","07","21658","A","N","B","C","A","A","H","-","A","D","0","","","","Y","Y","","-","99","0","0","0","0","0","0","0","0","0","-","-","37.52465","122.18283","9370-2020-00730"
"91204830","2020","20200310","9370","20200307","405","022288","","6","3","6","0103","0","1","1","","2","081","I-80 E/B","UNIVERSITY AVE","2700.00","W","N","B","-","Y","","","","","","","","","","Y","0","0","0","2","A","-","03","22350","","M","C","C","A","A","H","-","D","D","0","","","","","Y","","-","99","0","0","0","0","0","0","0","0","0","-","-","37.85963","122.30155","9370-2020-00821"
"91288535","2020","20200818","9370","20200718","346","022068","","6","3","6","0103","0","1","1","","2","081","I-80 W/B","UNIVERSITY AVE","250.00","W","N","A","-","Y","","","","","","","","","","N","0","0","0","1","C","-","18","","","N","E","J","A","A","H","-","C","D","0","","","","","Y","","-","- ","0","0","0","0","0","0","0","0","0","-","-","37.86530","122.30400","9370-2020-01835"
"91302211","2020","20200910","9370","20200903","1240","018499","","4","1","6","0103","0","1","1","","2","080","I-80 W/B","ASHBY AVE","30.00","W","N","A","-","Y","","","","","","","","","","Y","0","0","0","4","A","-","03","22350","","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01","0","0","0","0","0","0","0","0","0","-","-","37.84696","122.29817","9370-2020-02135"
"91255710","2020","20200622","9370","20200619","1515","022346","","5","2","6","0103","0","1","1","","2","081","I-80 W/B","UNIVERSITY AVE","1600.00","E","N","A","-","Y","","","","","","","","","","Y","0","0","0","2","A","-","03","22350","","N","C","C","A","A","H","-","A","D","0","","","","","Y","","A","07","0","0","0","0","0","0","0","0","0","-","-","37.87100","122.30520","9370-2020-01503"
