"case_id","party_number","party_type","at_fault","party_sex","party_age","party_sobriety","party_drug_physical","dir_of_travel","party_safety_equip_1","party_safety_equip_2","finan_respons","sp_info_1","sp_info_2","sp_info_3","oaf_violation_code","oaf_viol_cat","oaf_viol_section","oaf_violation_suffix","oaf_1","oaf_2","party_number_killed","party_number_injured","move_pre_acc","vehicle_year","vehicle_make","stwd_vehicle_type","chp_veh_type_towing","chp_veh_type_towed","race","inattention","special_info_f","special_info_g","local_report_number"
"9188128","1","4","Y","M","35","A","-","E","-","-","N","-","3","-","","27","21650","1","A","-","0","1","H","","-","L","04","","A","","-","-","2020-00048088"
"9188128","2","1","N","M","49","A","-","S","P","W","Y","-","3","-","-","- ","","","-","-","0","1","B","2010","-","C","02","","B","","-","-","2020-00048088"
"9188131","2","2","Y","F","77","A","-","-","-","-","O","-","3","-","-","- ","","","N","-","0","1","R","","-","N","60","","A","","-","-","202000047399"
"9188131","1","1","N","-","998","G","G","-","-","-","N","-","-","-","-","- ","","","-","-","0","0","B","","-","A","01","","","","-","-","202000047399"
"9188132","2","1","N","M","21","A","-","N","P","A","Y","-","3","-","-","- ","","","-","-","0","1","B","2002","-","C","02","","B","","-","-","2020-00047310"
"9188132","1","1","Y","F","76","A","-","-","M","G","Y","-","3","-","-","- ","","","-","-","0","0","B","2019","-","A","01","","W","","-","-","2020-00047310"
"9188136","1","4","Y","M","38","G","G","W","-","-","N","-","3","-","-","- ","","","A","-","0","1","B","","-","L","04","","O","","-","-","2020-0045497"
"9188136","2","1","N","F","25","A","-","N","M","G","Y","-","3","-","-","- ","","","N","-","0","0","B","2015","-","A","01","","O","","-","-","2020-0045497"
"9187784","1","1","Y","M","35","A","-","N","M","G","Y","-","3","-","-","- ","","","-","-","0","0","B","2006","-","A","01","","O","","-","-","2020-00050435"
"9192866","1","1","Y","M","39","G","G","S","M","G","Y","-","3","-","-","- ","","","-","-","0","1","B","2019","-","A","01","","B","","-","-","2020-00050393"
"9192866","2","1","N","F","25","G","G","S","M","B","Y","-","3","-","-","- ","","","-","-","0","0","A","2008","-","A","01","","O","","-","-","2020-00050393"
"9197959","1","1","Y","F","21","A","-","N","L","G","Y","-","2","-","-","- ","","","F","-","0","0","B","1995","JEEP","A","01","","W","-","-","-","2020-00051019"
"9197959","2","1","N","M","38","G","G","W","L","G","","-","3","-","-","- ","","","N","-","0","2","B","2008","-","A","01","","W","","-","-","2020-00051019"
"9218263","2","2","N","F","56","A","-","-","-","-","O","-","3","-","-","- ","","","-","-","0","1","B","","-","N","60","","","","-","-","2020-0005855"
"9218263","1","1","Y","F","63","A","-","S","M","G","Y","-","3","-","-","- ","","","-","-","0","0","E","2010","AUDI","A","01","","W","","-","-","2020-0005855"
"9218264","2","1","N","M","24","G","G","E","P","W","","-","3","-","-","- ","","","N","-","0","1","B","","-","C","03","","O","","-","-","2020-00058083"
