"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9188128","1","4","M","35","3","-","P","-","-","2020-00048088"
"9188128","2","1","M","49","3","1","P","-","-","2020-00048088"
"9188132","1","2","M","76","0","2","M","-","-","2020-00047310"
"9188136","2","2","M","24","0","3","M","G","0","2020-0045497"
"9197959","2","1","M","38","7","1","L","G","0","2020-00051019"
"9197959","2","2","F","29","7","6","M","H","0","2020-00051019"
"9090333","2","3","F","39","6","-","N","-","0","2020-00009945"
"9186988","2","4","M","67","6","-","P","W","2","2020-00048742"
"9188131","2","3","F","77","2","-","P","-","-","202000047399"
"9188132","2","1","M","21","3","1","P","A","0","2020-00047310"
"9188136","1","4","M","38","4","-","-","-","-","2020-0045497"
"9107225","1","4","M","56","6","-","P","W","0","2020-00019848"
"9052974","1","2","F","6","0","6","M","-","3","2020-00000689"
"9049312","1","2","F","22","6","3","L","G","0","2020-00004886"
"9049352","2","2","F","10","0","4","M","G","0","2020-00003448"
"9049352","2","1","M","43","6","1","M","G","0","2020-00003448"
"9192866","1","1","M","39","6","1","M","G","0","2020-00050393"
"91210295","2","1","F","61","6","1","M","G","0","9370-2020-00887"
"9136430","1","2","F","22","0","3","M","G","-","2020-00030991"
"9060082","2","1","M","69","4","1","-","-","3","2020-00000733"
"9060099","2","3","F","48","7","9","-","-","3","2020-00004011"
"9136430","2","1","F","21","7","1","M","-","-","2020-00030991"
"91302854","2","1","M","27","7","1","M","G","0","9370-2020-02212"
"9084663","2","4","M","59","7","9","P","-","3","2020-00011097"
"9137816","1","4","M","28","4","-","P","V","2","2020-00032591"
"9137816","2","2","M","28","0","3","M","-","-","2020-00032591"
"9099817","2","4","F","41","6","-","P","-","0","2020-00012170"
"9099832","1","2","M","998","0","3","M","B","-","2020-00014430"
"9089452","1","2","F","32","0","3","L","G","0","2020-00007500"
"91179305","1","1","M","43","6","1","L","H","1","9370-2020-00274"
"9218263","2","3","F","56","6","-","P","-","0","2020-0005855"
"9218264","2","1","M","24","6","1","P","W","0","2020-00058083"
"9218276","2","3","M","27","6","-","P","-","-","2020-00056094"
"9137809","1","3","M","42","3","-","-","-","-","2020-00034459"
"9218874","1","1","F","42","6","1","M","G","0","2020-00057415"
"9116202","2","4","M","67","4","1","-","-","-","2020-00020801"
"9116207","1","1","F","38","6","1","M","G","0","2020-00018823"
"9116207","1","2","F","3","6","6","M","G","0","2020-00018823"
"9116207","2","2","F","34","0","3","K","-","-","2020-00018823"
"9090332","2","3","F","63","6","-","-","-","-","2020-00009319"
"91302704","2","1","M","63","7","1","M","G","0","9370-2020-02210"
"91302704","2","2","F","64","7","4","M","G","0","9370-2020-02210"
"9218275","1","1","F","53","5","1","M","H","0","2020-00056114"
"9218279","2","3","F","74","6","-","P","-","0","2020-00055357"
"9218874","2","1","M","62","5","1","M","G","0","2020-00057415"
"9141270","2","2","F","73","0","-","M","-","-","2020-00034594"
"9161225","2","2","M","19","0","6","M","-","-","2020-00039146"
"9161225","2","2","M","20","0","3","L","-","-","2020-00039146"
"9084710","1","2","F","39","7","3","L","G","0","2020-00006174"
"9060098","2","2","F","57","6","9","P","Y","0","2020-00000598"
"9060099","1","2","M","73","0","3","M","-","3","2020-00004011"
"9060169","1","2","M","19","0","3","L","G","0","2020-00002586"
"9122632","1","5","M","998","6","-","M","P","0","2020-00023610"
"9128452","2","1","F","49","6","1","M","G","0","2020-00030985"
"9149490","1","2","M","50","0","3","L","-","0","2020-00032648"
"9149490","1","2","M","22","0","6","P","-","0","2020-00032648"
"91354971","3","2","F","34","7","3","M","G","0","9370-2020-03032"
"91354971","3","2","F","9","7","6","M","G","0","9370-2020-03032"
"91331260","2","1","F","75","7","1","L","G","0","9370-2020-02611"
"9128652","1","2","M","23","0","-","M","-","-","2020-00025136"
"9128656","1","2","M","23","0","3","M","-","-","2020-00025137"
"9049295","2","3","F","20","7","9","P","-","3","2020-00002743"
"9049295","3","3","F","21","7","1","P","-","3","2020-00002743"
"9049307","2","3","F","15","3","9","-","-","3","2020-00000439"
"9049312","2","2","F","84","6","3","L","G","0","2020-00004886"
"9049328","2","3","M","57","6","9","P","-","0","2020-00003835"
"9049332","2","3","F","14","6","9","P","-","0","2020-00003826"
"9049344","2","3","M","79","6","9","P","-","3","2020-00002949"
"9049352","1","1","F","75","6","1","M","G","0","2020-00003448"
